Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2016,June,4 Western, Colac-Otway,COLAC-OTWAY,1862,8716
2016,June,4 Western, Corangamite,CORANGAMITE,811,4993
2016,June,4 Western, Gannawarra,GANNAWARRA,559,5290
2016,June,4 Western, Glenelg,GLENELG,1592,8057
2016,June,4 Western, Golden Plains,GOLDEN PLAINS,832,3779
2016,June,4 Western, Greater Bendigo,GREATER BENDIGO,9590,8542
2016,June,4 Western, Greater Geelong,GREATER GEELONG,23205,9688
2016,June,4 Western, Hepburn,HEPBURN,847,5456
2016,June,4 Western, Hindmarsh,HINDMARSH,300,5187
2016,June,4 Western, Horsham,HORSHAM,2893,14549
2016,June,4 Western, Loddon,LODDON,496,6563
2016,June,4 Western, Macedon Ranges,MACEDON RANGES,2391,5036
2016,June,4 Western, Mildura,MILDURA,6310,11545
2016,June,4 Western, Moorabool,MOORABOOL,2321,7104
2016,June,4 Western, Mount Alexander,MOUNT ALEXANDER,1224,6409
2016,June,4 Western, Moyne,MOYNE,586,3501
